Rank,Name,Team,Position,Week,Opponent,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGame,FantasyPoints,Year
155,A.J. Green,CIN,WR,11,CLE,11.0,6.0,54.5,117.0,0.0,52,10.6,19.5,0.0,0.0,0.0,0.0,0.0,0.0,11.7,11.7,2013
52,A.J. Green,CIN,WR,13,LAC,12.0,8.0,66.7,147.0,0.0,66,12.2,18.4,0.0,0.0,0.0,0.0,0.0,0.0,14.7,14.7,2013
80,A.J. Green,CIN,WR,14,IND,12.0,8.0,66.7,135.0,0.0,60,11.2,16.9,0.0,0.0,0.0,0.0,0.0,0.0,13.5,13.5,2013
169,A.J. Green,CIN,WR,15,PIT,12.0,8.0,66.7,115.0,0.0,52,9.6,14.4,0.0,0.0,0.0,0.0,0.0,0.0,11.5,11.5,2013
91,A.J. Green,CIN,WR,16,MIN,14.0,10.0,71.4,131.0,0.0,59,9.4,13.1,0.0,0.0,0.0,0.0,0.0,0.0,13.1,13.1,2013
26,A.J. Green,CIN,WR,17,BAL,12.0,8.0,66.7,101.0,1.0,45,8.4,12.6,0.0,0.0,0.0,0.0,0.0,0.0,16.1,16.1,2013
91,A.J. Green,CIN,WR,1,BAL,7.0,5.0,71.4,93.0,1.0,0,13.3,18.6,0.0,0.0,0.0,0.0,0.0,0.0,15.3,15.3,2014
4,A.J. Green,CIN,WR,2,ATL,10.0,7.0,70.0,118.0,1.0,0,11.8,16.9,0.0,0.0,0.0,0.0,0.0,0.0,17.8,17.8,2014
552,A.J. Green,CIN,WR,3,TEN,10.0,7.0,70.0,93.0,0.0,0,9.3,13.3,0.0,0.0,0.0,0.0,0.0,0.0,9.3,9.3,2014
74,A.J. Green,CIN,WR,5,NE,9.0,6.0,66.7,95.0,1.0,0,10.6,15.8,0.0,0.0,0.0,0.0,0.0,0.0,15.5,15.5,2014
223,A.J. Green,CIN,WR,9,JAX,7.0,5.0,71.4,77.0,1.0,0,11.0,15.4,0.0,0.0,0.0,0.0,0.0,0.0,13.7,13.7,2014
148,A.J. Green,CIN,WR,10,CLE,9.0,6.0,66.7,86.0,1.0,0,9.6,14.3,0.0,0.0,0.0,0.0,0.0,0.0,14.6,14.6,2014
207,A.J. Green,CIN,WR,11,NO,7.0,5.0,71.4,79.0,1.0,0,11.3,15.8,0.0,0.0,0.0,0.0,0.0,0.0,13.9,13.9,2014
119,A.J. Green,CIN,WR,12,HOU,9.0,6.0,66.7,89.0,1.0,0,9.9,14.8,0.0,0.0,0.0,0.0,0.0,0.0,14.9,14.9,2014
70,A.J. Green,CIN,WR,13,TB,10.0,7.0,70.0,96.0,1.0,0,9.6,13.7,0.0,0.0,0.0,0.0,0.0,0.0,15.6,15.6,2014
74,A.J. Green,CIN,WR,14,PIT,10.0,7.0,70.0,95.0,1.0,0,9.5,13.6,0.0,0.0,0.0,0.0,0.0,0.0,15.5,15.5,2014
91,A.J. Green,CIN,WR,15,CLE,9.0,6.0,66.7,93.0,1.0,0,10.3,15.5,0.0,0.0,0.0,0.0,0.0,0.0,15.3,15.3,2014
104,A.J. Green,CIN,WR,16,DEN,10.0,7.0,70.0,91.0,1.0,0,9.1,13.0,0.0,0.0,0.0,0.0,0.0,0.0,15.1,15.1,2014
104,A.J. Green,CIN,WR,17,PIT,9.0,6.0,66.7,91.0,1.0,0,10.1,15.2,0.0,0.0,0.0,0.0,0.0,0.0,15.1,15.1,2014
69,A.J. Green,CIN,WR,1,LV,9.0,6.0,66.7,82.0,1.0,0,9.1,13.7,0.0,2.0,0.0,0.0,0.0,0.0,14.4,14.4,2015
430,A.J. Green,CIN,WR,2,LAC,7.0,5.0,71.4,79.0,0.0,0,11.3,15.8,0.0,0.0,0.0,0.0,0.0,0.0,7.9,7.9,2015
437,A.J. Green,CIN,WR,3,BAL,7.0,5.0,71.4,75.0,0.0,0,10.7,15.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,7.5,2015
56,A.J. Green,CIN,WR,4,KC,9.0,6.0,66.7,85.0,1.0,0,9.4,14.2,0.0,1.0,0.0,0.0,0.0,0.0,14.6,14.6,2015
130,A.J. Green,CIN,WR,5,SEA,9.0,6.0,66.7,78.0,1.0,0,8.7,13.0,0.0,0.0,0.0,0.0,0.0,0.0,13.8,13.8,2015
66,A.J. Green,CIN,WR,6,BUF,9.0,6.0,66.7,85.0,1.0,0,9.4,14.2,0.0,0.0,0.0,0.0,0.0,0.0,14.5,14.5,2015
96,A.J. Green,CIN,WR,8,PIT,9.0,6.0,66.7,81.0,1.0,0,9.0,13.5,0.0,0.0,0.0,0.0,0.0,0.0,14.1,14.1,2015
83,A.J. Green,CIN,WR,9,CLE,9.0,6.0,66.7,82.0,1.0,0,9.1,13.7,0.0,0.0,0.0,0.0,0.0,0.0,14.2,14.2,2015
83,A.J. Green,CIN,WR,10,HOU,9.0,6.0,66.7,82.0,1.0,0,9.1,13.7,0.0,0.0,0.0,0.0,0.0,0.0,14.2,14.2,2015
130,A.J. Green,CIN,WR,11,ARI,9.0,6.0,66.7,78.0,1.0,0,8.7,13.0,0.0,0.0,0.0,0.0,0.0,0.0,13.8,13.8,2015
118,A.J. Green,CIN,WR,12,LAR,9.0,6.0,66.7,79.0,1.0,0,8.8,13.2,0.0,0.0,0.0,0.0,0.0,0.0,13.9,13.9,2015
83,A.J. Green,CIN,WR,13,CLE,9.0,6.0,66.7,82.0,1.0,0,9.1,13.7,0.0,0.0,0.0,0.0,0.0,0.0,14.2,14.2,2015
45,A.J. Green,CIN,WR,14,PIT,9.0,6.0,66.7,88.0,1.0,0,9.8,14.7,0.0,0.0,0.0,0.0,0.0,0.0,14.8,14.8,2015
149,A.J. Green,CIN,WR,15,SF,9.0,6.0,66.7,76.0,1.0,0,8.4,12.7,0.0,0.0,0.0,0.0,0.0,0.0,13.6,13.6,2015
242,A.J. Green,CIN,WR,16,DEN,7.0,5.0,71.4,68.0,1.0,0,9.7,13.6,0.0,0.0,0.0,0.0,0.0,0.0,12.8,12.8,2015
