Rank,Name,Team,Position,Week,Opponent,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGame,FantasyPoints
317,Ladarius Green,LAC,TE,2,CIN,6,5,83.3,47,0,12,7.8,9.4,0,0,0,0,0,0,4.7,4.7
317,Coby Fleener,IND,TE,7,NO,5,3,60,47,0,27,9.4,15.7,0,0,0,0,0,0,4.7,4.7
317,Rob Gronkowski,NE,TE,9,WAS,5,4,80,47,0,15,9.4,11.8,0,0,0,0,0,0,4.7,4.7
317,Zach Miller,CHI,TE,11,DEN,6,3,50,47,0,21,7.8,15.7,0,0,0,0,0,0,4.7,4.7
317,Daniel Brown,BAL,TE,14,SEA,6,5,83.3,47,0,31,7.8,9.4,0,0,0,0,0,0,4.7,4.7
317,Clive Walford,LV,TE,14,DEN,7,3,42.9,47,0,25,6.7,15.7,0,0,0,0,0,0,4.7,4.7
317,Gary Barnidge,CLE,TE,16,KC,8,3,37.5,47,0,24,5.9,15.7,0,0,0,0,0,0,4.7,4.7
326,Zach Ertz,PHI,TE,1,ATL,8,3,37.5,46,0,21,5.8,15.3,0,0,0,0,0,0,4.6,4.6
326,Heath Miller,PIT,TE,5,LAC,3,3,100,46,0,26,15.3,15.3,0,0,0,0,0,0,4.6,4.6
326,Travis Kelce,KC,TE,11,LAC,7,5,71.4,46,0,16,6.6,9.2,0,0,0,0,0,0,4.6,4.6
326,Mychal Rivera,LV,TE,10,MIN,7,6,85.7,46,0,17,6.6,7.7,0,0,0,0,1,0,4.6,4.6
326,Cameron Brate,TB,TE,16,CHI,1,1,100,46,0,46,46,46,0,0,0,0,0,0,4.6,4.6
326,Tyler Kroft,CIN,TE,16,DEN,6,4,66.7,46,0,15,7.7,11.5,0,0,0,0,0,0,4.6,4.6
326,Clive Walford,LV,TE,17,KC,4,4,100,46,0,19,11.5,11.5,0,0,0,0,0,0,4.6,4.6
326,Jason Witten,DAL,TE,13,WAS,9,5,55.6,46,0,12,5.1,9.2,0,0,0,0,0,0,4.6,4.6
334,Richard Rodgers,GB,TE,5,LAR,8,6,75,45,0,18,5.6,7.5,0,0,0,0,0,0,4.5,4.5
334,Coby Fleener,IND,TE,11,ATL,5,3,60,45,0,26,9,15,0,0,0,0,0,0,4.5,4.5
334,Heath Miller,PIT,TE,12,SEA,6,5,83.3,45,0,17,7.5,9,0,0,0,0,0,0,4.5,4.5
334,Jordan Reed,WAS,TE,17,DAL,4,4,100,45,0,26,11.2,11.2,0,0,0,0,1,0,4.5,4.5
334,Marcedes Lewis,JAX,TE,17,HOU,1,1,100,45,0,45,45,45,0,0,0,0,0,0,4.5,4.5
339,Maxx Williams,BAL,TE,3,CIN,7,3,42.9,44,0,28,6.3,14.7,0,0,0,0,0,0,4.4,4.4
339,Jordan Matthews,PHI,TE,5,NO,7,5,71.4,44,0,18,6.3,8.8,0,0,0,0,0,0,4.4,4.4
339,Owen Daniels,DEN,TE,8,GB,3,3,100,44,0,18,14.7,14.7,0,0,0,0,0,0,4.4,4.4
339,Jeff Cumberland,NYJ,TE,9,JAX,3,1,33.3,44,0,44,14.7,44,0,0,0,0,0,0,4.4,4.4
339,Zach Ertz,PHI,TE,9,DAL,6,5,83.3,44,0,27,7.3,8.8,0,0,0,0,0,0,4.4,4.4
344,Charles Clay,BUF,TE,1,IND,4,4,100,43,0,27,10.8,10.8,0,0,0,0,1,0,4.3,4.3
344,Jason Witten,DAL,TE,9,PHI,8,6,75,43,0,14,5.4,7.2,0,0,0,0,0,0,4.3,4.3
344,Darren Fells,ARI,TE,14,MIN,4,3,75,43,0,26,10.8,14.3,0,0,0,0,0,0,4.3,4.3
344,Owen Daniels,DEN,TE,14,LV,4,3,75,43,0,32,10.8,14.3,0,0,0,0,0,0,4.3,4.3
344,Cooper Helfet,SEA,TE,16,LAR,6,4,66.7,43,0,16,7.2,10.8,0,0,0,0,0,0,4.3,4.3
344,Blake Bell,SF,TE,15,CIN,8,4,50,43,0,27,5.4,10.8,0,0,0,0,0,0,4.3,4.3
344,Zach Ertz,PHI,TE,6,NYG,7,4,57.1,43,0,17,6.1,10.8,0,0,0,0,0,0,4.3,4.3
351,Chase Coffman,TEN,TE,2,CLE,6,4,66.7,42,0,16,7,10.5,0,0,0,0,0,0,4.2,4.2
351,Jason Witten,DAL,TE,10,TB,5,5,100,42,0,24,8.4,8.4,0,0,0,0,0,0,4.2,4.2
351,Tyler Eifert,CIN,TE,14,PIT,2,2,100,42,0,24,21,21,0,0,0,0,0,0,4.2,4.2
351,Cooper Helfet,SEA,TE,17,ARI,6,4,66.7,42,0,20,7,10.5,0,0,0,0,0,0,4.2,4.2
351,Travis Kelce,KC,TE,13,LV,3,2,66.7,42,0,26,14,21,0,0,0,0,1,1,4.2,4.2
356,Devin Funchess,CAR,TE,10,TEN,2,2,100,41,0,27,20.5,20.5,0,0,0,0,0,0,4.1,4.1
356,Jimmy Graham,SEA,TE,10,ARI,8,3,37.5,41,0,30,5.1,13.7,0,0,0,0,0,0,4.1,4.1
356,Rhett Ellison,MIN,TE,14,ARI,1,1,100,41,0,41,41,41,0,0,0,0,0,0,4.1,4.1
359,Garrett Celek,SF,TE,1,MIN,4,3,75,40,0,20,10,13.3,0,0,0,0,0,0,4,4
359,Crockett Gillmore,BAL,TE,3,CIN,3,3,100,40,0,19,13.3,13.3,0,0,0,0,0,0,4,4
359,Heath Miller,PIT,TE,10,CLE,7,4,57.1,40,0,27,5.7,10,0,0,0,0,0,0,4,4
359,Jason Witten,DAL,TE,14,GB,9,5,55.6,40,0,10,4.4,8,0,0,0,0,0,0,4,4
359,Greg Olsen,CAR,TE,16,ATL,6,4,66.7,40,0,15,6.7,10,0,0,0,0,0,0,4,4
359,Dion Sims,MIA,TE,17,NE,3,3,100,40,0,22,13.3,13.3,0,0,0,0,0,0,4,4
359,Marcedes Lewis,JAX,TE,4,IND,8,5,62.5,40,0,13,5,8,0,0,0,0,0,0,4,4
366,Tyler Eifert,CIN,TE,8,PIT,8,4,50,39,0,23,4.9,9.8,0,0,0,0,0,0,3.9,3.9
366,Jimmy Graham,SEA,TE,11,SF,3,3,100,39,0,20,13,13,0,0,0,0,0,0,3.9,3.9
366,Derek Carrier,WAS,TE,6,NYJ,4,4,100,39,0,20,9.8,9.8,0,0,0,0,0,0,3.9,3.9
366,Scott Chandler,NE,TE,6,IND,3,2,66.7,39,0,25,13,19.5,0,0,0,0,0,0,3.9,3.9
366,Jordan Matthews,PHI,TE,6,NYG,11,6,54.5,59,0,19,5.4,9.8,0,0,0,0,1,1,3.9,3.9
371,Gary Barnidge,CLE,TE,1,NYJ,5,3,60,38,0,22,7.6,12.7,0,0,0,0,0,0,3.8,3.8
371,Richard Rodgers,GB,TE,1,CHI,3,3,100,27,0,20,9,9,1,11,11,0,0,0,3.8,3.8
371,Brent Celek,PHI,TE,17,NYG,2,2,100,38,0,24,19,19,0,0,0,0,0,0,3.8,3.8
371,Larry Donnell,NYG,TE,4,BUF,7,5,71.4,38,0,16,5.4,7.6,0,0,0,0,0,0,3.8,3.8
371,Josh Hill,NO,TE,6,ATL,5,3,60,38,0,19,7.6,12.7,0,0,0,0,0,0,3.8,3.8
376,Rob Gronkowski,NE,TE,11,BUF,7,2,28.6,37,0,27,5.3,18.5,0,0,0,0,0,0,3.7,3.7
376,Lance Kendricks,LAR,TE,17,SF,5,5,100,37,0,12,7.4,7.4,0,0,0,0,0,0,3.7,3.7
376,Vance McDonald,SF,TE,17,LAR,5,3,60,37,0,24,7.4,12.3,0,0,0,0,0,0,3.7,3.7
376,Nick O'Leary,BUF,TE,15,WAS,1,1,100,37,0,37,37,37,0,0,0,0,0,0,3.7,3.7
380,Luke Willson,SEA,TE,2,GB,4,2,50,36,0,24,9,18,0,0,0,0,0,0,3.6,3.6
380,Delanie Walker,TEN,TE,5,BUF,6,4,66.7,36,0,16,6,9,0,0,0,0,0,0,3.6,3.6
380,Jacob Tamme,ATL,TE,7,TEN,6,3,50,36,0,24,6,12,0,0,0,0,0,0,3.6,3.6
380,Travis Kelce,KC,TE,10,DEN,9,5,55.6,36,0,9,4,7.2,0,0,0,0,0,0,3.6,3.6
380,Ryan Griffin,HOU,TE,10,CIN,6,3,50,36,0,15,6,12,0,0,0,0,0,0,3.6,3.6
