PlayerName,Team,Position,Week,Opponent,ProjPassYd,ProjPassTD,ProjPassINT,ProjRushAtt,ProjRushYd,ProjRushTD,ProjRecCount,ProjRecYd,ProjRecTD,ActualPassYd,ActualPassTD,ActualPassINT,ActualRushAtt,ActualRushYd,ActualRushTD,ActualRecCount,ActualRecYd,ActualRecTD,FanProjStd,FanProjPPR1,FanProjPPRHalf,FanActualStd,FanActualPPR1,FanActualPPRHalf,DiffPassYds,DiffPassTD,DiffPassINT,DiffRushAtt,DiffRushYd,DiffRushTD,DiffRecCount,DiffRecYd,DiffRecTD,DiffStandard,DiffPPR1,DiffPPRHalf
Clyde Edwards-Helaire,KC,RB,5,MIN,0,0,0,4.46,19.36,0.15,0.7,5.39,0.04,0,0,0,3,4,0,0,0,0,3.62,4.32,3.97,0.4,0.4,0.4,0,0,0,-1.46,-15.36,-0.15,-0.7,-5.39,-0.04,-3.22,-3.92,-3.57
Ronnie Rivers,LA,RB,5,PHI,0,0,0,4.91,21.96,0.14,0.5,3.15,0.02,0,0,0,1,1,0,0,0,0,3.47,3.97,3.72,0.1,0.1,0.1,0,0,0,-3.91,-20.96,-0.14,-0.5,-3.15,-0.02,-3.37,-3.87,-3.62
Emari Demercado,ARI,RB,5,CIN,0,0,0,4.46,18.61,0.12,0.24,1.83,0.01,0,0,0,10,45,0,1,12,0,2.82,3.06,2.94,5.7,6.7,6.2,0,0,0,5.54,26.39,-0.12,0.76,10.17,-0.01,2.88,3.64,3.26
Trayveon Williams,CIN,RB,5,ARI,0,0,0,2.56,11.07,0.06,0.95,6.96,0.06,0,0,0,1,5,0,0,0,0,2.52,3.47,3,0.5,0.5,0.5,0,0,0,-1.56,-6.07,-0.06,-0.95,-6.96,-0.06,-2.02,-2.97,-2.5
Chase Brown,CIN,RB,5,ARI,0,0,0,1.03,4.38,0.02,0.95,6.96,0.06,0,0,0,0,0,0,1,2,0,1.61,2.56,2.08,0.2,1.2,0.7,0,0,0,-1.03,-4.38,-0.02,0.05,-4.96,-0.06,-1.41,-1.36,-1.38
Michael Carter,NYJ,RB,5,DEN,0,0,0,1.11,4.71,0.03,0.84,6.74,0.04,0,0,0,1,8,0,3,14,0,1.56,2.4,1.98,2.2,5.2,3.7,0,0,0,-0.11,3.29,-0.03,2.16,7.26,-0.04,0.64,2.8,1.72
Michael Burton,DEN,RB,5,NYJ,0,0,0,1.4,5.78,0.04,0.58,4.27,0.03,0,0,0,1,2,0,0,0,0,1.42,2,1.71,0.2,0.2,0.2,0,0,0,-0.4,-3.78,-0.04,-0.58,-4.27,-0.03,-1.22,-1.8,-1.51
Ty Chandler,MIN,RB,5,KC,0,0,0,0.24,1.03,0.01,0.27,1.85,0.02,0,0,0,1,15,0,0,0,0,0.47,0.74,0.6,1.5,1.5,1.5,0,0,0,0.76,13.97,-0.01,-0.27,-1.85,-0.02,1.03,0.76,0.9
Christian McCaffrey,SF,RB,5,DAL,0,0,0,19.22,88.47,0.74,4.98,39.82,0.24,0,0,0,19,51,0,2,27,0,18.71,23.69,21.2,7.8,9.8,8.8,0,0,0,-0.22,-37.47,-0.74,-2.98,-12.82,-0.24,-10.91,-13.89,-12.4
Tony Pollard,DAL,RB,5,SF,0,0,0,16.71,77.27,0.46,2.83,20.96,0.12,0,0,0,8,29,0,4,35,0,13.3,16.13,14.72,6.4,10.4,8.4,0,0,0,-8.71,-48.27,-0.46,1.17,14.04,-0.12,-6.9,-5.73,-6.32
Rico Dowdle,DAL,RB,5,SF,0,0,0,4.95,21.44,0.13,0.51,3.43,0.02,0,0,0,5,15,0,0,0,0,3.39,3.9,3.64,1.5,1.5,1.5,0,0,0,0.05,-6.44,-0.13,-0.51,-3.43,-0.02,-1.89,-2.4,-2.14
Jordan Mason,SF,RB,5,DAL,0,0,0,4.43,18.95,0.11,0.23,1.7,0.01,0,0,0,10,69,0,0,0,0,2.78,3.01,2.9,6.9,6.9,6.9,0,0,0,5.57,50.05,-0.11,-0.23,-1.7,-0.01,4.12,3.89,4.01
Deuce Vaughn,DAL,RB,5,SF,0,0,0,2,8.06,0.04,0.78,5.28,0.03,0,0,0,3,7,0,1,1,0,1.75,2.53,2.14,0.8,1.8,1.3,0,0,0,1,-1.06,-0.04,0.22,-4.28,-0.03,-0.95,-0.73,-0.84
Kyle Juszczyk,SF,RB,5,DAL,0,0,0,0.59,2.45,0.02,0.46,4.39,0.02,0,0,0,0,0,0,4,26,1,0.92,1.38,1.15,8.6,12.6,10.6,0,0,0,-0.59,-2.45,-0.02,3.54,21.61,0.98,7.68,11.22,9.45
Tyrion Davis-Price,SF,RB,5,DAL,0,0,0,0.3,1.22,0.01,0.23,1.68,0.01,0,0,0,6,21,0,0,0,0,0.41,0.64,0.52,2.1,2.1,2.1,0,0,0,5.7,19.78,-0.01,-0.23,-1.68,-0.01,1.69,1.46,1.58
Josh Jacobs,LV,RB,5,GB,0,0,0,18.93,83.18,0.67,3.35,26.11,0.14,0,0,0,20,69,0,5,20,0,15.79,19.14,17.46,8.9,13.9,11.4,0,0,0,1.07,-14.18,-0.67,1.65,-6.11,-0.14,-6.89,-5.24,-6.06
AJ Dillon,GB,RB,5,LV,0,0,0,15.01,65.16,0.44,1.56,12.53,0.07,0,0,0,20,76,0,0,0,0,10.83,12.39,11.61,7.6,7.6,7.6,0,0,0,4.99,10.84,-0.44,-1.56,-12.53,-0.07,-3.23,-4.79,-4.01
Patrick Taylor,GB,RB,5,LV,0,0,0,4.29,18.05,0.1,0.61,4.62,0.03,0,0,0,2,2,0,2,5,0,3.05,3.66,3.36,0.7,2.7,1.7,0,0,0,-2.29,-16.05,-0.1,1.39,0.38,-0.03,-2.35,-0.96,-1.66
Ameer Abdullah,LV,RB,5,GB,0,0,0,0.27,1.13,0.01,1.19,9.17,0.06,0,0,0,1,4,0,1,11,0,1.45,2.64,2.04,1.5,2.5,2,0,0,0,0.73,2.87,-0.01,-0.19,1.83,-0.06,0.05,-0.14,-0.04
