PlayerName,Team,Position,Week,Opponent,ProjPassYd,ProjPassTD,ProjPassINT,ProjRushAtt,ProjRushYd,ProjRushTD,ProjRecCount,ProjRecYd,ProjRecTD,ActualPassYd,ActualPassTD,ActualPassINT,ActualRushAtt,ActualRushYd,ActualRushTD,ActualRecCount,ActualRecYd,ActualRecTD,FanProjStd,FanProjPPR1,FanProjPPRHalf,FanActualStd,FanActualPPR1,FanActualPPRHalf,DiffPassYds,DiffPassTD,DiffPassINT,DiffRushAtt,DiffRushYd,DiffRushTD,DiffRecCount,DiffRecYd,DiffRecTD,DiffStandard,DiffPPR1,DiffPPRHalf
Chris Godwin,TB,WR,3,PHI,0,0,0,0,0,0,5.36,54.43,0.32,0,0,0,0,0,0,3,32,0,7.36,12.72,10.04,3.2,6.2,4.7,0,0,0,0,0,0,-2.36,-22.43,-0.32,-4.16,-6.52,-5.34
Tyler Boyd,CIN,WR,3,LA,0,0,0,0,0,0,3.26,39.03,0.21,0,0,0,0,0,0,5,39,0,5.16,8.42,6.79,3.9,8.9,6.4,0,0,0,0,0,0,1.74,-0.03,-0.21,-1.26,0.48,-0.39
Van Jefferson,LA,WR,3,CIN,0,0,0,0,0,0,2.58,34.2,0.2,0,0,0,1,4,0,1,46,0,4.62,7.2,5.91,5,6,5.5,0,0,0,1,4,0,-1.58,11.8,-0.2,0.38,-1.2,-0.41
Trey Palmer,TB,WR,3,PHI,0,0,0,0,0,0,1.88,22.6,0.11,0,0,0,0,0,0,1,8,0,2.92,4.8,3.86,0.8,1.8,1.3,0,0,0,0,0,0,-0.88,-14.6,-0.11,-2.12,-3,-2.56
Ben Skowronek,LA,WR,3,CIN,0,0,0,0,0,0,1.19,12.83,0.08,0,0,0,0,0,0,1,3,0,1.76,2.95,2.36,0.3,1.3,0.8,0,0,0,0,0,0,-0.19,-9.83,-0.08,-1.46,-1.65,-1.56
Olamide Zaccheaus,PHI,WR,3,TB,0,0,0,0,0,0,1.11,13.26,0.06,0,0,0,0,0,0,2,58,1,1.69,2.8,2.24,11.8,13.8,12.8,0,0,0,0,0,0,0.89,44.74,0.94,10.11,11,10.56
Deven Thompkins,TB,WR,3,PHI,0,0,0,0,0,0,1.07,12.11,0.07,0,0,0,0,0,0,2,6,0,1.63,2.7,2.16,0.6,2.6,1.6,0,0,0,0,0,0,0.93,-6.11,-0.07,-1.03,-0.1,-0.56
Christian Watson,GB,WR,4,DET,0,0,0,0,0,0,4.05,58.08,0.31,0,0,0,0,0,0,2,25,1,7.67,11.72,9.7,8.5,10.5,9.5,0,0,0,0,0,0,-2.05,-33.08,0.69,0.83,-1.22,-0.2
Romeo Doubs,GB,WR,4,DET,0,0,0,0,0,0,3.64,45.78,0.27,0,0,0,0,0,0,9,95,0,6.2,9.84,8.02,9.5,18.5,14,0,0,0,0,0,0,5.36,49.22,-0.27,3.3,8.66,5.98
Jayden Reed,GB,WR,4,DET,0,0,0,0,0,0,3.23,44.55,0.24,0,0,0,0,0,0,3,55,0,5.9,9.13,7.52,5.5,8.5,7,0,0,0,0,0,0,-0.23,10.45,-0.24,-0.4,-0.63,-0.52
Josh Reynolds,DET,WR,4,GB,0,0,0,0,0,0,2.53,34.93,0.21,0,0,0,0,0,0,3,69,0,4.75,7.28,6.02,6.9,9.9,8.4,0,0,0,0,0,0,0.47,34.07,-0.21,2.15,2.62,2.39
Kalif Raymond,DET,WR,4,GB,0,0,0,0,0,0,2.34,32.67,0.16,0,0,0,1,40,0,1,-2,0,4.23,6.57,5.4,3.8,4.8,4.3,0,0,0,1,40,0,-1.34,-34.67,-0.16,-0.43,-1.77,-1.1
Samori Toure,GB,WR,4,DET,0,0,0,0,0,0,0.76,10.33,0.05,0,0,0,0,0,0,1,35,0,1.33,2.09,1.71,3.5,4.5,4,0,0,0,0,0,0,0.24,24.67,-0.05,2.17,2.41,2.29
